gene	Bime201829425463	Christie201222295056	GuillenGuio202031982041	Liao202134556700_gwas	Meyer201121257790	Meyer201323449693	Tejera201223048207	Shortt201425372662	Xu202134268393	Bhargava201428856588	Bhargava201728785034	Bowler200414742308	Chang200818658106	Chen201324041686	Chen201627095254	Dong201323773529	Mirchandani202235624205_prot	Nguyen201323505561	Batra202236121875	Ren201627565730	Sarma20220_prot	Bos201930645145	Dolinay201222461369	Howrylak200919174476	Juss201627064380	Kangelaris201525795726	Kovach201525849954	Lu201729151698	Martucci202133375484	Mirchandani202235624205_trans	Morrell201829769438	Morrell201930990758	Nick201627606687	Wang200818203972	Zhu201728856588	Englert201930665420	Liao202134556700_trans	Sarma20220_bulk	Scheller201930239899	Zhang202133747181	Zhang202235804020	Jiang202032554932	Sarma20220_sc	maic_score	contributors
LDHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8789220031084815	0.0	2.0523045776918463	0.0	0.0	0.0	0.0	1.557739211989699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3211554722013412	0.0	0.0	0.0	0.0	1.7923336511150962	8.602454916106463	PROTEOMICS/OTHER: Ren201627565730, TRANSCRIPTOMICS/MICROARRAY: Juss201627064380, PROTEOMICS/MASSSPEC: Nguyen201323505561, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
PI3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6786632078284167	1.6815585360538896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.822633211706188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6839771838856494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7970741042329559	7.985243035878683	PROTEOMICS/OTHER: Batra202236121875, PROTEOMICS/MASSSPEC: Bhargava201728785034, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc, TRANSCRIPTOMICS/MICROARRAY: Wang200818203972
CXCL8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.994525555955766	0.0	1.7039848329326475	0.0	0.0	0.0	1.51216243723939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.592000855878564	0.0	0.0	0.0	1.3248266021141102	0.0	0.0	0.0	0.0	1.8047399542421823	7.716092968190623	PROTEOMICS/OTHER: Batra202236121875, TRANSCRIPTOMICS/MICROARRAY: Wang200818203972, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
CTSD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.031426556311708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.004961147413141	0.0	0.0	0.0	0.0	0.0	1.540775389453451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0219656455466715	7.599128738724971	PROTEOMICS/OTHER: Batra202236121875, PROTEOMICS/MASSSPEC: Bhargava201728785034, TRANSCRIPTOMICS/MICROARRAY: Juss201627064380, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
S100A12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.824377297325352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7039848329326475	0.0	0.0	0.0	0.0	0.0	2.600394515994442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3125465953231503	0.0	0.0	0.0	0.0	0.0	7.441303241575591	PROTEOMICS/MASSSPEC: Chang200818658106, TRANSCRIPTOMICS/MICROARRAY: Kovach201525849954, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, PROTEOMICS/OTHER: Sarma20220_prot
S100A8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6786646678284167	0.0	0.0	1.8204740968725948	0.0	0.0	1.8407136248128	0.0	1.8328638371084671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.767885060215982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3270715006301934	0.0	0.0	0.0	0.0	2.0883204409897207	7.023990626648696	PROTEOMICS/MASSSPEC: Dong201323773529, TRANSCRIPTOMICS/MICROARRAY: Kovach201525849954, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
IRAK3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8395593712138072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6747579230788898	0.0	0.0	0.0	0.0	0.0	0.0	1.515192707944306	0.0	0.0	0.0	0.0	0.0	1.3178396129252916	0.0	0.0	0.0	0.0	1.7956737866100845	6.6278306938280735	TRANSCRIPTOMICS/MICROARRAY: Juss201627064380, PROTEOMICS/MASSSPEC: Mirchandani202235624205_prot, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
ANXA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6786634778284166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8600882254787803	0.0	0.0	0.0	0.0	0.0	0.0	1.5088840288950283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.310260506008607	0.0	0.0	0.0	0.0	1.8561107806583619	6.535343541040778	PROTEOMICS/MASSSPEC: Nguyen201323505561, TRANSCRIPTOMICS/MICROARRAY: Juss201627064380, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
IL1R1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8316077265624169	0.0	0.0	0.0	0.0	0.0	1.5857088569112905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.308360580429628	0.0	0.0	0.0	0.0	1.734304768623389	6.459981932526724	PROTEOMICS/OTHER: Batra202236121875, TRANSCRIPTOMICS/MICROARRAY: Juss201627064380, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
HINT1	0.0	0.0	0.0	1.418888459550925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.820523667603618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3076912299546493	0.0	0.0	0.0	0.0	1.8788213533011129	6.425924710410305	PROTEOMICS/MASSSPEC: Chang200818658106, GWAS/GENOTYPING: Liao202134556700_gwas, TRANSCRIPTOMICS/RNASEQ: Sarma20220_bulk, TRANSCRIPTOMICS/SCRNASEQ: Sarma20220_sc
