gene,source,ards_maic_overlap
A2M,BioLitMine,yes - prioritised
ABO,BioLitMine,no
ADORA2A,BioLitMine,no
AGER,BioLitMine,no
AGT,BioLitMine,yes - not prioritised
AHR,BioLitMine,no
AKT1,BioLitMine,yes - prioritised
ANGPT1,BioLitMine,yes - not prioritised
ANGPT2,BioLitMine,yes - not prioritised
ANXA2,BioLitMine,yes - prioritised
BIRC5,BioLitMine,yes - not prioritised
FAS,BioLitMine,yes - not prioritised
FASLG,BioLitMine,yes - prioritised
AQP1,BioLitMine,no
AQP5,BioLitMine,no
ATP1B1,BioLitMine,no
AZU1,BioLitMine,no
BDKRB1,BioLitMine,no
BMPR2,BioLitMine,no
SERPING1,BioLitMine,yes - prioritised
CALCA,BioLitMine,no
CAV1,BioLitMine,no
KRIT1,BioLitMine,no
CD40LG,BioLitMine,no
CD44,BioLitMine,yes - not prioritised
CDH5,BioLitMine,no
CDK8,BioLitMine,yes - not prioritised
CDKN1A,BioLitMine,no
CFTR,BioLitMine,yes - not prioritised
CLDN4,BioLitMine,no
CRP,BioLitMine,yes - not prioritised
MAPK14,BioLitMine,yes - not prioritised
CSF3,BioLitMine,no
CTSL,BioLitMine,yes - prioritised
CYBB,BioLitMine,yes - prioritised
DAPK1,BioLitMine,no
ACE,BioLitMine,no
DEFB1,BioLitMine,no
DMBT1,BioLitMine,yes - prioritised
DNM2,BioLitMine,no
DPP4,BioLitMine,yes - not prioritised
S1PR3,BioLitMine,yes - not prioritised
EDN1,BioLitMine,yes - prioritised
EGF,BioLitMine,no
ELANE,BioLitMine,yes - not prioritised
CTTN,BioLitMine,no
EP300,BioLitMine,no
EPAS1,BioLitMine,yes - prioritised
F2R,BioLitMine,yes - not prioritised
F3,BioLitMine,yes - not prioritised
F5,BioLitMine,yes - prioritised
F12,BioLitMine,yes - not prioritised
FER,BioLitMine,no
FGF7,BioLitMine,yes - not prioritised
FOXM1,BioLitMine,no
FLT1,BioLitMine,yes - not prioritised
FTL,BioLitMine,yes - prioritised
GGT1,BioLitMine,yes - prioritised
