gene	Liao202134556700_gwas	Xu202134268393	Bhargava201728785034	Chen201627095254	Batra202236121875	Lu201729151698	Morrell201930990758	Liao202134556700_trans	maic_score	contributors
IL1RL1	0.0	0.0	0.0	1.1470495367484608	1.5058740937310704	0.0	0.0	0.0	2.652923630479531	PROTEOMICS/OTHER: Batra202236121875, PROTEOMICS/MASSSPEC: Chen201627095254
CTSD	0.0	0.0	1.2740930564622552	0.0	1.3651755299531665	0.0	0.0	0.0	2.6392685864154215	PROTEOMICS/OTHER: Batra202236121875, PROTEOMICS/MASSSPEC: Bhargava201728785034
CXCL16	0.0	0.0	0.0	1.1470495367484608	1.3270035280076706	0.0	0.0	0.0	2.4740530647561316	PROTEOMICS/OTHER: Batra202236121875, PROTEOMICS/MASSSPEC: Chen201627095254
IL18BP	0.0	0.0	0.0	0.0	1.4216350741149892	0.0	1.0301818877159834	0.0	2.4518169618309726	PROTEOMICS/OTHER: Batra202236121875, TRANSCRIPTOMICS/MICROARRAY: Morrell201930990758
IGFBP7	0.0	0.0	1.123525338734735	0.0	1.2778562830465148	0.0	0.0	0.0	2.40138162178125	PROTEOMICS/OTHER: Batra202236121875, PROTEOMICS/MASSSPEC: Bhargava201728785034
TGM2	0.0	0.0	1.1307291048582735	0.0	1.247015459562073	0.0	0.0	0.0	2.3777445644203468	PROTEOMICS/OTHER: Batra202236121875, PROTEOMICS/MASSSPEC: Bhargava201728785034
PI3	0.0	0.0	1.1055015091065925	0.0	1.2393453479117782	0.0	0.0	0.0	2.3448468570183705	PROTEOMICS/OTHER: Batra202236121875, PROTEOMICS/MASSSPEC: Bhargava201728785034
SCGB1A1	0.0	0.0	1.2995476398997856	0.0	0.0	0.0	1.030209031913467	0.0	2.3297566718132527	PROTEOMICS/MASSSPEC: Bhargava201728785034, TRANSCRIPTOMICS/MICROARRAY: Morrell201930990758
AKR1C3	0.0	1.159710700522821	1.1430247534001061	0.0	0.0	0.0	0.0	0.0	2.302735453922927	PROTEOMICS/MASSSPEC: Bhargava201728785034, GWAS/WES: Xu202134268393
AKR1B10	0.0	1.159710830522821	1.1244389690256518	0.0	0.0	0.0	0.0	0.0	2.284149799548473	PROTEOMICS/MASSSPEC: Bhargava201728785034, GWAS/WES: Xu202134268393
TNC	0.0	1.159710750522821	1.1149848917409233	0.0	0.0	0.0	0.0	0.0	2.2746956422637443	PROTEOMICS/MASSSPEC: Bhargava201728785034, GWAS/WES: Xu202134268393
CTSZ	0.0	0.0	0.0	0.0	1.2367168173727798	0.0	1.0302379273494977	0.0	2.2669547447222778	PROTEOMICS/OTHER: Batra202236121875, TRANSCRIPTOMICS/MICROARRAY: Morrell201930990758
CR1	0.0	0.0	1.1373452138502262	0.0	0.0	0.0	0.0	1.067699366239616	2.205044580089842	PROTEOMICS/MASSSPEC: Bhargava201728785034, TRANSCRIPTOMICS/RNASEQ: Liao202134556700_trans
S100A11	1.0499156988622789	0.0	1.1497974935547224	0.0	0.0	0.0	0.0	0.0	2.1997131924170015	PROTEOMICS/MASSSPEC: Bhargava201728785034, GWAS/GENOTYPING: Liao202134556700_gwas
CD55	0.0	0.0	1.1139256320615105	0.0	0.0	0.0	0.0	1.0676995362396158	2.1816251683011263	PROTEOMICS/MASSSPEC: Bhargava201728785034, TRANSCRIPTOMICS/RNASEQ: Liao202134556700_trans
