gene	Bime201829425463	Christie201222295056	GuillenGuio202031982041	Meyer201121257790	Meyer201323449693	Tejera201223048207	Shortt201425372662	Bowler200414742308	Chang200818658106	Chen201324041686	Mirchandani202235624205_prot	Nguyen201323505561	Ren201627565730	Dolinay201222461369	Howrylak200919174476	Juss201627064380	Kangelaris201525795726	Kovach201525849954	Lu201729151698	Mirchandani202235624205_trans	Morrell201829769438	Wang200818203972	Zhu201728856588	Englert201930665420	Scheller201930239899	Zhang202133747181	Zhang202235804020	Jiang202032554932	maic_score	contributors
LDHA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3280067421016741	1.5393087986323237	0.0	0.0	1.0565029760802656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.923818516814263	TRANSCRIPTOMICS/MICROARRAY: Juss201627064380, PROTEOMICS/MASSSPEC: Nguyen201323505561, PROTEOMICS/OTHER: Ren201627565730
IFI44L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8644003159217708	0.0	0.0	0.0	1.6571579670839396	3.52155828300571	TRANSCRIPTOMICS/RNASEQ: Englert201930665420, TRANSCRIPTOMICS/SCRNASEQ: Jiang202032554932
S100A12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2918320775499559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68269870289961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.974530780449566	PROTEOMICS/MASSSPEC: Chang200818658106, TRANSCRIPTOMICS/MICROARRAY: Kovach201525849954
APOA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.293020264080298	1.3724953236927242	0.0	0.0	1.5376300859221543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9101254096148788	PROTEOMICS/MASSSPEC: Chen201324041686, PROTEOMICS/OTHER: Ren201627565730
APOA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3724953136927243	0.0	0.0	1.5242003842408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8966956979335245	PROTEOMICS/MASSSPEC: Chen201324041686, PROTEOMICS/OTHER: Ren201627565730
APOC3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3724952436927242	0.0	0.0	1.5158068206899535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.888302064382678	PROTEOMICS/MASSSPEC: Chen201324041686, PROTEOMICS/OTHER: Ren201627565730
SFTPA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2345773684294516	1.2903468443870283	0.0	0.0	1.3362138545525966	1.5292365223713078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8654503769239046	PROTEOMICS/MASSSPEC: Nguyen201323505561, PROTEOMICS/OTHER: Ren201627565730
MUC5AC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3264885330100462	1.5275578096611386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.854046342671185	PROTEOMICS/MASSSPEC: Nguyen201323505561, PROTEOMICS/OTHER: Ren201627565730
DMBT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3194523734386467	1.5309152350814772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.850367608520124	PROTEOMICS/MASSSPEC: Nguyen201323505561, PROTEOMICS/OTHER: Ren201627565730
HLA-DQB1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0532521598487858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.781378040971169	2.834630200819955	TRANSCRIPTOMICS/SCRNASEQ: Jiang202032554932, TRANSCRIPTOMICS/MICROARRAY: Juss201627064380
